========================================================================================================================,,,,,,,
File Design Information:,,,,,,,
,,,,,,,
Date:       17/11/22,,,,,,,
Time:       17:12,,,,,,,
Revision:   Not in VersionControl,,,,,,,
Variant:    Not Fitted,,,,,,,
Units used: mm,,,,,,,
,,,,,,,
Designator,Comment,Layer,Footprint,Center-X(mm),Center-Y(mm),Rotation,Description
D1,SMBJ26CA,TopLayer,SMB,15.0672,16.4102,180,SMBJ26CA
C23,0.1uF,TopLayer,0603_C,125.0684,21.7833,180,
C22,10uF/16V,TopLayer,CASE-A_3216,126.0212,18.6922,360,
C21,22pF,TopLayer,0603_C,132.2125,25.5488,90,
C20,0.1uF,TopLayer,0603_C,135.5615,41.9891,360,
C19,0.1uF,TopLayer,0603_C,91.0027,21.3296,270,C0805
C18,10uF/16V,TopLayer,CASE-A_3216,140.0504,19.0928,90,
C17,0.1uF,TopLayer,0603_C,154.2364,42.4745,270,
C16,10uF/16V,TopLayer,CASE-A_3216,135.519,19.0928,90,
C15,0.1uF,TopLayer,0603_C,100.5633,52.7028,360,
C14,10uF/16V,TopLayer,CASE-A_3216,99.5752,49.9974,180,
C13,0.1uF,TopLayer,0603_C,108.3041,64.8751,180,
C12,0.1uF,TopLayer,0603_C,95.0933,69.97,180,
C11,0.1uF,TopLayer,0603_C,90.0716,57.1211,360,
C10,0.1uF,TopLayer,0603_C,94.5643,52.6686,360,
C9,0.1uF,TopLayer,0603_C,108.3753,57.8751,180,
C8,0.1uF,TopLayer,0603_C,48.3434,64.746,90,Capacitor
C7,0.1uF,TopLayer,0603_C,34.7147,64.7804,90,Capacitor
C4,0.1uF,TopLayer,0603_C,27.6873,64.7693,90,
C1,0.1uF,TopLayer,0603_C,12.7633,54.1304,180,
H2,#NAME?,TopLayer,THC7R5D3R4-M3-PTH,5,5,0,
H3,#NAME?,TopLayer,THC7R5D3R4-M3-PTH,195,5,0,
H4,#NAME?,TopLayer,THC7R5D3R4-M3-PTH,195,95,0,
H1,#NAME?,TopLayer,THC7R5D3R4-M3-PTH,5,95,0,
